__id,id_election,id_brut_miom,code_departement,code_commune,code_bv,no_panneau,voix,ratio_voix_inscrits,ratio_voix_exprimes,nuance,sexe,nom,prenom,liste,libelle_abrege_liste,libelle_etendu_liste,nom_tete_liste,binome
62693,2026_muni_t1,21001_0001,21,21001,0001,1,170,52.15,100,,,,,,"ENSEMBLE POUR AGENCOURT","ENSEMBLE POUR AGENCOURT",,
62694,2026_muni_t1,21002_0001,21,21002,0001,1,140,56,100,,,,,,"AGEY DEMAIN","AGEY DEMAIN",,
62695,2026_muni_t1,21003_0001,21,21003,0001,1,190,31.15,49.22,,,,,,"AHUY ENSEMBLE","AHUY ENSEMBLE",,
62696,2026_muni_t1,21003_0002,21,21003,0002,1,273,35,49.64,,,,,,"AHUY ENSEMBLE","AHUY ENSEMBLE",,
62697,2026_muni_t1,21004_0001,21,21004,0001,1,61,29.05,34.27,,,,,,"Tous pour Aignay-le-Duc, Aignay-le-Duc pour tous !","Tous pour Aignay-le-Duc, Aignay-le-Duc pour tous !",,
62698,2026_muni_t1,21005_0001,21,21005,0001,1,461,41.49,100,,,,,,"BIEN VIVRE À AISEREY ET POTANGEY","BIEN VIVRE À AISEREY ET POTANGEY",,
62699,2026_muni_t1,21006_0001,21,21006,0001,1,51,49.04,100,,,,,,"Tourner vers l'avenir, ensemble continuons d'agir","Tourner vers l'avenir, ensemble continuons d'agir",,
62700,2026_muni_t1,21007_0001,21,21007,0001,1,85,49.42,100,,,,,,"Aisy Sous Thil, Demain","Aisy Sous Thil, Demain",,
62701,2026_muni_t1,21008_0001,21,21008,0001,1,135,38.35,100,,,,,,"Alise-Sainte-Reine, terre d'histoire, avenir partagé","Alise-Sainte-Reine, terre d'histoire, avenir partagé",,
62702,2026_muni_t1,21009_0001,21,21009,0001,1,73,44.51,100,,,,,,Allerey,Allerey,,
62703,2026_muni_t1,21010_0001,21,21010,0001,1,51,48.57,100,,,,,,"Aloxe 2026","Aloxe 2026",,
62704,2026_muni_t1,21011_0001,21,21011,0001,1,26,53.06,100,,,,,,"TOUS POUR AMPILLY","TOUS POUR AMPILLY",,
62705,2026_muni_t1,21012_0001,21,21012,0001,1,143,51.44,100,,,,,,"Une équipe dynamique pour notre village","Une équipe dynamique pour notre village",,
62706,2026_muni_t1,21013_0001,21,21013,0001,1,180,53.25,100,,,,,,"ANCEY 26-33","ANCEY 26-33",,
62707,2026_muni_t1,21014_0001,21,21014,0001,1,44,70.97,100,,,,,,"VIVRE ANTHEUIL","VIVRE ANTHEUIL",,
62708,2026_muni_t1,21015_0001,21,21015,0001,1,41,59.42,100,,,,,,"POUR ANTIGNY","POUR ANTIGNY",,
62709,2026_muni_t1,21016_0001,21,21016,0001,1,257,33.59,49.81,,,,,,"Un coeur qui bat pour 3 villages","Un coeur qui bat pour 3 villages",,
62710,2026_muni_t1,21017_0001,21,21017,0001,1,198,48.18,100,,,,,,"Avancer Ensemble pour Arcenant-Chevrey","Avancer Ensemble pour Arcenant-Chevrey",,
62711,2026_muni_t1,21018_0001,21,21018,0001,1,18,43.9,100,,,,,,ARCEY,ARCEY,,
62712,2026_muni_t1,21020_0001,21,21020,0001,1,74,40.22,100,,,,,,"Elections municipales 2026","Elections municipales 2026",,
62713,2026_muni_t1,21021_0001,21,21021,0001,1,525,49.16,100,,,,,,"Au Coeur d'Arc","Au Coeur d'Arc",,
62714,2026_muni_t1,21021_0002,21,21021,0002,1,465,43.46,100,,,,,,"Au Coeur d'Arc","Au Coeur d'Arc",,
62715,2026_muni_t1,21022_0001,21,21022,0001,1,226,49.67,70.4,,,,,,"ENGAGÉS POUR TOUS","ENGAGÉS POUR TOUS",,
62716,2026_muni_t1,21023_0001,21,21023,0001,1,289,28.61,46.17,,,,,,"ARNAY PASSIONNEMENT","ARNAY PASSIONNEMENT",,
62717,2026_muni_t1,21024_0001,21,21024,0001,1,46,43.81,100,,,,,,"Ensemble pour Arnay","Ensemble pour Arnay",,
62718,2026_muni_t1,21025_0001,21,21025,0001,1,28,48.28,100,,,,,,"ARRANS 2026-2032","ARRANS 2026-2032",,
62719,2026_muni_t1,21026_0001,21,21026,0001,1,66,47.14,100,,,,,,"Agir pour Asnières en Montagne","Agir pour Asnières en Montagne",,
62720,2026_muni_t1,21027_0001,21,21027,0001,1,505,50.65,100,,,,,,"Asnières, un village qui vous ressemble","Asnières, un village qui vous ressemble",,
62721,2026_muni_t1,21028_0001,21,21028,0001,1,168,28.97,44.8,,,,,,"ATHÉE, POUR VOUS ET AVEC VOUS","ATHÉE, POUR VOUS ET AVEC VOUS",,
62722,2026_muni_t1,21029_0001,21,21029,0001,1,26,47.27,57.78,,,,,,"Les Cassiens","Les Cassiens",,
62723,2026_muni_t1,21030_0001,21,21030,0001,1,43,51.19,100,,,,,,"AUBAINE LE RENOUVEAU","AUBAINE LE RENOUVEAU",,
62724,2026_muni_t1,21031_0001,21,21031,0001,1,167,45.01,100,,,,,,"AUBIGNY EN PLAINE 2026","AUBIGNY EN PLAINE 2026",,
62725,2026_muni_t1,21032_0001,21,21032,0001,1,71,44.1,100,,,,,,"ROY Gérard","ROY Gérard",,
62726,2026_muni_t1,21033_0001,21,21033,0001,1,77,56.62,100,,,,,,"ENSEMBLE POUR AUBIGNY LES SOMBERNON","ENSEMBLE POUR AUBIGNY LES SOMBERNON",,
62727,2026_muni_t1,21034_0001,21,21034,0001,1,32,23.7,29.91,,,,,,"Un nouveau souffle pour Autricourt","Un nouveau souffle pour Autricourt",,
62728,2026_muni_t1,21035_0001,21,21035,0001,1,110,40.44,100,,,,,,LIBRE,LIBRE,,
62729,2026_muni_t1,21036_0001,21,21036,0001,1,42,76.36,100,,,,,,"GIBOULOT JEAN-PAUL","GIBOULOT JEAN-PAUL",,
62730,2026_muni_t1,21037_0001,21,21037,0001,1,134,53.82,100,,,,,,"ENSEMBLE POUR AUXEY-DURESSES","ENSEMBLE POUR AUXEY-DURESSES",,
62731,2026_muni_t1,21038_0001,21,21038,0001,1,190,12.4,20.7,LDVG,,,,,"Une Dynamique pour Auxonne","Une Dynamique pour Auxonne",,
62732,2026_muni_t1,21038_0002,21,21038,0002,1,148,12.9,23.09,LDVG,,,,,"Une Dynamique pour Auxonne","Une Dynamique pour Auxonne",,
62733,2026_muni_t1,21038_0003,21,21038,0003,1,146,10.08,17.3,LDVG,,,,,"Une Dynamique pour Auxonne","Une Dynamique pour Auxonne",,
62734,2026_muni_t1,21038_0004,21,21038,0004,1,106,11.78,24.77,LDVG,,,,,"Une Dynamique pour Auxonne","Une Dynamique pour Auxonne",,
62735,2026_muni_t1,21039_0001,21,21039,0001,1,25,62.5,100,,,,,,"Liste menée par Mauricette BESANÇON","Liste menée par Mauricette BESANÇON",,
62736,2026_muni_t1,21040_0001,21,21040,0001,1,34,43.04,49.28,,,,,,"Vivre ensemble à Avosnes","Vivre ensemble à Avosnes",,
62737,2026_muni_t1,21041_0001,21,21041,0001,1,92,62.16,100,,,,,,"AVOT 2026","AVOT 2026",,
62738,2026_muni_t1,21042_0001,21,21042,0001,1,75,57.25,100,,,,,,"Bien vivre à Bagnot","Bien vivre à Bagnot",,
62739,2026_muni_t1,21043_0001,21,21043,0001,1,71,46.71,100,,,,,,"Ici Baigneux les Juifs","Ici Baigneux les Juifs",,
62740,2026_muni_t1,21044_0001,21,21044,0001,1,38,46.91,51.35,,,,,,"AVEC VOUS POUR LE VILLAGE","AVEC VOUS POUR LE VILLAGE",,
62741,2026_muni_t1,21045_0001,21,21045,0001,1,57,27.67,34.55,,,,,,BARBIREY-JAUGEY,BARBIREY-JAUGEY,,
62742,2026_muni_t1,21046_0001,21,21046,0001,1,54,72.97,100,,,,,,"Bard, une Équipe pour Tous","Bard, une Équipe pour Tous",,
62743,2026_muni_t1,21047_0001,21,21047,0001,1,24,52.17,100,,,,,,"BARD 2026-2032","BARD 2026-2032",,
62744,2026_muni_t1,21048_0001,21,21048,0001,1,259,53.73,100,,,,,,"Agir ensemble pour Barges","Agir ensemble pour Barges",,
62745,2026_muni_t1,21049_0001,21,21049,0001,1,19,48.72,100,,,,,,BARJON,BARJON,,
62746,2026_muni_t1,21050_0001,21,21050,0001,1,99,54.7,100,,,,,,"MORIN Rémy","MORIN Rémy",,
62747,2026_muni_t1,21051_0001,21,21051,0001,1,56,57.73,100,,,,,,"BAULME AU COEUR","BAULME AU COEUR",,
62748,2026_muni_t1,21052_0001,21,21052,0001,1,22,75.86,100,,,,,,"BEAULIEU 2026-2032","BEAULIEU 2026-2032",,
62749,2026_muni_t1,21053_0001,21,21053,0001,1,69,41.57,100,,,,,,"Trait d'Union","Trait d'Union",,
62750,2026_muni_t1,21054_0001,21,21054,0001,1,56,5.24,8.63,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62751,2026_muni_t1,21054_0002,21,21054,0002,1,67,7.7,13.29,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62752,2026_muni_t1,21054_0003,21,21054,0003,1,54,6.18,18.56,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62753,2026_muni_t1,21054_0004,21,21054,0004,1,60,5.77,9.12,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62754,2026_muni_t1,21054_0005,21,21054,0005,1,52,6.37,11.18,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62755,2026_muni_t1,21054_0006,21,21054,0006,1,50,5.61,8.8,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62756,2026_muni_t1,21054_0007,21,21054,0007,1,57,5.7,9.9,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62757,2026_muni_t1,21054_0008,21,21054,0008,1,93,7.49,15.45,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62758,2026_muni_t1,21054_0009,21,21054,0009,1,85,7.15,12.37,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62759,2026_muni_t1,21054_0010,21,21054,0010,1,60,6.41,14.93,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62760,2026_muni_t1,21054_0011,21,21054,0011,1,134,7.85,13.66,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
62761,2026_muni_t1,21054_0012,21,21054,0012,1,92,7.4,12.53,LRN,,,,,"Rassemblement Beaunois","Rassemblement Beaunois",,
